Gene Name	TPM
A1CF	0.0
AAR2	24.0559402456599
AARS	63.780972907628794
AARS2	9.88383640781989
AARSD1	20.5615451824241
ABCE1	68.0138971345121
ABT1	10.964179057052801
ACIN1	78.8222894624696
ACO1	82.54350154651529
ADAD1	0.0
ADAD2	0.0
ADAR	58.234987272126
ADARB1	10.1258602924513
ADARB2	0.0
ADAT1	14.291735667663698
ADAT2	3.24769689923307
ADAT3	2.3863323863999
AEN	18.6928353703577
AFF1	11.848967729270301
AFF3	2.02708566498717
AFF4	25.2482797936346
AGFG1	50.1763370969944
AGO1	9.24153029158459
AGO2	10.0317353199174
AGO3	7.20982351853819
AGO4	5.87011837066204
AIMP1	45.2143525775875
AIMP2	38.2384304939826
AK6	89.12195103993909
AKAP1	8.33960733789519
AKAP17A	12.636531166998301
AKAP8	11.026096799579198
AKAP8L	32.4504548455302
ALKBH1	12.1785723162982
ALKBH5	44.84002690444761
ALKBH8	4.37670806018748
ALYREF	103.16464883879
ANG	5.88387839692542
ANGEL1	4.70485456669193
ANGEL2	18.002950152683102
ANKHD1	15.9656171297945
ANKRD17	27.5145660797331
APEX1	230.319666147346
API5	79.2680423669439
APOBEC1	0.0
APOBEC2	0.133508560199524
APOBEC3F	11.587905761407402
APOBEC3G	13.157365814310902
APOBEC3H	0.6906426850889611
APOBEC4	0.0
APTX	34.1506240383152
AQR	30.582118565163498
ARHGEF28	18.719791266303197
ARL6IP4	133.822965827347
ASCC1	31.8150659034789
ASH1L	6.71930829402808
ATXN1	6.31329230900121
ATXN1L	6.67741944866878
ATXN2	28.781771809871696
ATXN2L	53.8877619359597
AUH	14.5771600178579
AZGP1	0.0
BARD1	4.9598377822573
BAZ2A	19.459904408423103
BAZ2B	11.814198638010302
BCDIN3D	3.10861900494702
BCLAF1	103.702044134872
BICC1	16.0250065965938
BMS1	22.8767766665521
BOLL	0.0
BRCA1	16.0662808044519
BRIX1	81.0538974941918
BUD13	15.260479989202599
BYSL	20.0670823934089
BZW1	329.287652052203
BZW2	98.01773957503259
C11orf68	51.1487967946074
C12orf65	11.925020264403999
C1D	48.1209088642094
C1QBP	298.137491805134
C7orf55-LUC7L2	18.560587361442998
C9orf129	0.0
CACTIN	16.4439541573182
CALR	1206.6331179454598
CALR3	0.0
CANX	262.678984136199
CAPRIN1	190.26442347504903
CAPRIN2	7.40436584154413
